dataset_type,primary_id,asset_id,hostname,device_type,department,location,operating_system,ip_address,mac_address,vlan,criticality,edr_installed,patch_level_days,owner_email,server_id,role,environment,os,cpu_cores,memory_gb,storage_tb,backup_enabled,network_id,vendor,firmware_version,management_ip,redundant_pair,status,control_id,control_type,platform,coverage_percent,owner_team,last_review_date,compliance_mapping,link_id,source_node,destination_node,link_type,bandwidth_mbps,latency_ms,encrypted,monitoring_enabled
devices,AST-1016,AST-1016,MAR-VOI-016,VoIP Phone,Marketing,Branch-Sousse,Ubuntu 24.04,10.15.98.1,E8:92:D8:F9:4F:61,40.0,Medium,Yes,3.0,user16@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1017,AST-1017,EXE-LAP-017,Laptop,Executive,Branch-Sfax,macOS Sonoma,10.33.81.15,F4:50:1D:29:5F:23,10.0,High,Yes,43.0,user17@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1018,AST-1018,MAR-LAP-018,Laptop,Marketing,Branch-Sousse,macOS Sonoma,10.38.146.64,14:29:D6:A1:85:68,50.0,High,Yes,15.0,user18@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1019,AST-1019,SAL-LAP-019,Laptop,Sales,Branch-Sousse,Windows 11,10.30.77.118,04:EA:33:25:6D:87,30.0,Low,Yes,4.0,user19@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1020,AST-1020,MAR-LAP-020,Laptop,Marketing,Branch-Sousse,Ubuntu 24.04,10.24.214.140,04:99:35:44:87:3B,60.0,Low,Yes,17.0,user20@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1021,AST-1021,SAL-LAP-021,Laptop,Sales,Branch-Sfax,Ubuntu 24.04,10.20.53.176,FA:80:1A:2F:D8:8D,60.0,Low,Yes,21.0,user21@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1022,AST-1022,FIN-PRI-022,Printer,Finance,Branch-Sfax,macOS Sonoma,10.15.190.114,DA:04:39:26:4C:12,50.0,Medium,Yes,27.0,user22@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1023,AST-1023,FIN-LAP-023,Laptop,Finance,HQ-Tunis,Ubuntu 24.04,10.38.239.204,6B:7F:34:B5:D0:4F,10.0,Low,Yes,11.0,user23@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1024,AST-1024,OPE-LAP-024,Laptop,Operations,HQ-Tunis,macOS Sonoma,10.39.86.201,7F:88:51:37:C3:13,40.0,Medium,Yes,12.0,user24@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1025,AST-1025,SEC-LAP-025,Laptop,Security,Branch-Sousse,Windows 11,10.35.224.59,62:CC:A8:8E:23:8E,20.0,Medium,No,43.0,user25@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1026,AST-1026,LEG-VOI-026,VoIP Phone,Legal,Branch-Sousse,Windows 11,10.13.225.249,87:13:37:DE:B0:A0,30.0,Medium,Yes,24.0,user26@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1027,AST-1027,EXE-LAP-027,Laptop,Executive,HQ-Tunis,macOS Sonoma,10.32.112.1,64:BA:DC:23:A9:A0,50.0,High,Yes,19.0,user27@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1028,AST-1028,LEG-DES-028,Desktop,Legal,Branch-Sousse,macOS Sonoma,10.20.104.179,41:62:D7:C2:59:9A,30.0,Medium,Yes,19.0,user28@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1029,AST-1029,SAL-LAP-029,Laptop,Sales,HQ-Tunis,Ubuntu 24.04,10.28.156.168,E2:E2:6D:F2:56:2B,30.0,Medium,Yes,5.0,user29@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1030,AST-1030,MAR-LAP-030,Laptop,Marketing,Branch-Sfax,Windows 11,10.35.51.38,7D:F3:25:E9:D4:63,10.0,High,No,31.0,user30@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1031,AST-1031,OPE-LAP-031,Laptop,Operations,HQ-Tunis,Ubuntu 24.04,10.32.2.229,70:5A:ED:19:7F:3E,10.0,Medium,Yes,29.0,user31@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1032,AST-1032,LEG-LAP-032,Laptop,Legal,Branch-Sfax,macOS Sonoma,10.40.194.229,DA:E4:51:F3:E6:84,40.0,Low,Yes,33.0,user32@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1033,AST-1033,SEC-LAP-033,Laptop,Security,Branch-Sfax,Windows 11,10.24.20.183,8B:AB:A3:29:46:4D,30.0,Low,No,44.0,user33@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1034,AST-1034,FIN-LAP-034,Laptop,Finance,Branch-Sfax,Ubuntu 24.04,10.23.105.85,D4:1F:69:D7:C7:0A,50.0,High,No,30.0,user34@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1035,AST-1035,ENG-LAP-035,Laptop,Engineering,Branch-Sousse,macOS Sonoma,10.22.219.229,70:F9:70:8B:DF:F8,40.0,Low,No,21.0,user35@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1036,AST-1036,OPE-LAP-036,Laptop,Operations,Branch-Sfax,macOS Sonoma,10.24.236.33,0D:C9:0D:2A:DB:45,50.0,Medium,Yes,3.0,user36@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1037,AST-1037,SAL-LAP-037,Laptop,Sales,Branch-Sousse,Ubuntu 24.04,10.24.84.87,D7:81:29:F0:09:1A,40.0,Medium,Yes,41.0,user37@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1038,AST-1038,HR-LAP-038,Laptop,HR,Branch-Sfax,Windows 11,10.10.244.64,4E:7A:40:F2:3A:6F,20.0,Medium,Yes,23.0,user38@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1039,AST-1039,FIN-DES-039,Desktop,Finance,Branch-Sfax,Ubuntu 24.04,10.33.184.30,37:0D:9F:C0:CB:65,20.0,Low,Yes,6.0,user39@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1040,AST-1040,SAL-DES-040,Desktop,Sales,Branch-Sfax,Windows 11,10.13.204.252,B1:DB:BD:23:AE:06,50.0,Medium,No,6.0,user40@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1041,AST-1041,OPE-DES-041,Desktop,Operations,Branch-Sousse,Ubuntu 24.04,10.36.118.182,5A:8A:F7:EE:DF:89,20.0,Medium,Yes,5.0,user41@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1042,AST-1042,SAL-LAP-042,Laptop,Sales,Branch-Sousse,Ubuntu 24.04,10.24.146.157,AC:0E:FD:A6:5D:F9,60.0,Low,Yes,16.0,user42@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1043,AST-1043,SUP-VOI-043,VoIP Phone,Support,Branch-Sousse,Windows 11,10.32.226.71,61:2B:7B:D0:FA:7B,50.0,High,No,41.0,user43@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1044,AST-1044,SEC-DES-044,Desktop,Security,Branch-Sousse,macOS Sonoma,10.12.76.57,7C:9C:BC:F2:B0:D9,40.0,High,Yes,22.0,user44@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1045,AST-1045,SEC-LAP-045,Laptop,Security,Branch-Sousse,Ubuntu 24.04,10.17.31.185,3D:5E:62:6E:F7:8D,20.0,High,Yes,6.0,user45@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1046,AST-1046,MAR-LAP-046,Laptop,Marketing,Branch-Sousse,macOS Sonoma,10.15.78.4,40:8C:17:1B:95:40,60.0,High,No,6.0,user46@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1047,AST-1047,ENG-LAP-047,Laptop,Engineering,Branch-Sfax,Windows 11,10.25.113.88,81:F4:3A:21:CD:FB,20.0,Low,Yes,9.0,user47@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1048,AST-1048,FIN-VOI-048,VoIP Phone,Finance,Branch-Sfax,Ubuntu 24.04,10.12.64.31,73:C2:E6:E2:98:DB,50.0,Medium,Yes,39.0,user48@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1049,AST-1049,HR-DES-049,Desktop,HR,HQ-Tunis,Windows 11,10.18.170.21,58:26:50:01:D1:E6,20.0,High,No,18.0,user49@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1050,AST-1050,ENG-LAP-050,Laptop,Engineering,HQ-Tunis,Windows 11,10.19.180.221,77:87:65:D9:3A:73,40.0,High,Yes,17.0,user50@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1051,AST-1051,FIN-LAP-051,Laptop,Finance,HQ-Tunis,macOS Sonoma,10.35.79.153,93:E0:3F:EF:9B:CE,60.0,Medium,No,28.0,user51@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1052,AST-1052,HR-LAP-052,Laptop,HR,Branch-Sfax,Ubuntu 24.04,10.23.189.83,0D:2E:75:0A:89:14,50.0,Low,No,33.0,user52@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1053,AST-1053,SEC-LAP-053,Laptop,Security,Branch-Sousse,Windows 11,10.28.112.163,F0:B2:D1:AA:A4:35,40.0,Low,Yes,26.0,user53@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1054,AST-1054,SEC-DES-054,Desktop,Security,Branch-Sousse,Windows 11,10.22.209.195,E8:2D:A1:81:A5:3B,50.0,Medium,Yes,42.0,user54@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1055,AST-1055,LEG-LAP-055,Laptop,Legal,Branch-Sousse,Ubuntu 24.04,10.16.133.93,E2:1A:68:88:43:93,50.0,Medium,No,7.0,user55@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1056,AST-1056,ENG-DES-056,Desktop,Engineering,Branch-Sfax,macOS Sonoma,10.17.182.41,07:D0:2F:73:3A:EC,30.0,Low,Yes,31.0,user56@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1057,AST-1057,SAL-DES-057,Desktop,Sales,Branch-Sfax,Windows 11,10.23.214.124,E9:4A:C4:61:45:23,40.0,Medium,No,21.0,user57@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1058,AST-1058,LEG-DES-058,Desktop,Legal,Branch-Sousse,macOS Sonoma,10.19.186.77,FA:4C:E4:F7:B0:AA,50.0,High,No,29.0,user58@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1059,AST-1059,SUP-PRI-059,Printer,Support,HQ-Tunis,Ubuntu 24.04,10.17.147.99,16:A2:F2:C3:C5:4D,20.0,Medium,Yes,8.0,user59@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1060,AST-1060,LEG-LAP-060,Laptop,Legal,Branch-Sfax,Windows 11,10.13.224.217,E9:07:49:D1:4F:26,40.0,Medium,Yes,21.0,user60@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1061,AST-1061,EXE-LAP-061,Laptop,Executive,Branch-Sfax,macOS Sonoma,10.12.219.85,C2:A2:F9:12:23:78,60.0,High,Yes,14.0,user61@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1062,AST-1062,HR-PRI-062,Printer,HR,Branch-Sousse,Ubuntu 24.04,10.34.163.181,55:99:0E:17:A6:1C,10.0,Medium,Yes,23.0,user62@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1063,AST-1063,OPE-LAP-063,Laptop,Operations,HQ-Tunis,Windows 11,10.23.145.175,59:28:C3:7B:FE:49,20.0,Low,No,40.0,user63@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1064,AST-1064,SAL-LAP-064,Laptop,Sales,Branch-Sousse,Ubuntu 24.04,10.10.231.206,50:25:E2:B0:99:D9,40.0,High,Yes,29.0,user64@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1065,AST-1065,SAL-PRI-065,Printer,Sales,HQ-Tunis,Ubuntu 24.04,10.37.124.28,B7:97:97:0B:CA:8C,20.0,Low,Yes,38.0,user65@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1066,AST-1066,SEC-DES-066,Desktop,Security,Branch-Sousse,Windows 11,10.17.156.206,61:80:46:31:14:9E,30.0,Medium,Yes,37.0,user66@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1067,AST-1067,SUP-LAP-067,Laptop,Support,Branch-Sfax,Ubuntu 24.04,10.39.76.84,59:66:43:BB:8B:54,60.0,Medium,No,18.0,user67@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1068,AST-1068,SUP-LAP-068,Laptop,Support,HQ-Tunis,macOS Sonoma,10.12.37.194,CB:BB:2E:CA:07:87,20.0,High,Yes,29.0,user68@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1069,AST-1069,SUP-DES-069,Desktop,Support,Branch-Sfax,Ubuntu 24.04,10.18.150.98,37:77:F1:0C:A7:71,60.0,High,Yes,40.0,user69@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1070,AST-1070,SEC-LAP-070,Laptop,Security,Branch-Sfax,Windows 11,10.23.30.36,9B:FC:3B:31:78:45,10.0,Medium,No,23.0,user70@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1071,AST-1071,LEG-LAP-071,Laptop,Legal,Branch-Sousse,macOS Sonoma,10.33.40.227,32:FA:D0:8F:10:BD,40.0,Low,No,28.0,user71@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1072,AST-1072,MAR-LAP-072,Laptop,Marketing,Branch-Sousse,Ubuntu 24.04,10.31.95.140,1F:CB:8D:61:3E:E8,60.0,Low,Yes,41.0,user72@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1073,AST-1073,EXE-LAP-073,Laptop,Executive,HQ-Tunis,macOS Sonoma,10.20.63.254,69:23:6A:6E:77:A8,20.0,Low,Yes,17.0,user73@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1074,AST-1074,FIN-LAP-074,Laptop,Finance,HQ-Tunis,Windows 11,10.35.45.29,43:07:B7:79:A5:08,60.0,Low,Yes,3.0,user74@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1075,AST-1075,FIN-LAP-075,Laptop,Finance,Branch-Sfax,Ubuntu 24.04,10.13.191.17,B9:37:E7:71:16:9A,40.0,Medium,Yes,3.0,user75@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1076,AST-1076,SEC-LAP-076,Laptop,Security,Branch-Sousse,Windows 11,10.13.126.183,29:A4:4B:21:40:8C,40.0,High,Yes,24.0,user76@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1077,AST-1077,EXE-LAP-077,Laptop,Executive,Branch-Sfax,macOS Sonoma,10.26.155.111,3A:6E:DC:E7:74:D3,10.0,Medium,No,25.0,user77@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1078,AST-1078,OPE-LAP-078,Laptop,Operations,Branch-Sfax,Ubuntu 24.04,10.23.81.171,4E:F2:22:2E:2B:2F,30.0,Medium,Yes,23.0,user78@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1079,AST-1079,FIN-LAP-079,Laptop,Finance,Branch-Sfax,macOS Sonoma,10.40.144.144,3E:D2:B5:D8:1A:93,30.0,High,Yes,22.0,user79@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1080,AST-1080,HR-LAP-080,Laptop,HR,Branch-Sfax,Windows 11,10.14.169.124,B3:BC:3A:8E:73:DB,20.0,High,Yes,38.0,user80@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1081,AST-1081,SAL-LAP-081,Laptop,Sales,HQ-Tunis,Ubuntu 24.04,10.32.196.80,03:5C:49:CD:23:48,30.0,High,Yes,5.0,user81@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1082,AST-1082,LEG-LAP-082,Laptop,Legal,HQ-Tunis,Ubuntu 24.04,10.24.88.41,A6:2B:1A:4F:50:19,30.0,High,Yes,17.0,user82@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1083,AST-1083,SEC-LAP-083,Laptop,Security,Branch-Sfax,Windows 11,10.29.114.107,3A:B0:DC:38:91:F9,30.0,High,Yes,2.0,user83@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1084,AST-1084,MAR-PRI-084,Printer,Marketing,Branch-Sousse,Windows 11,10.11.2.53,46:82:94:A7:3D:03,30.0,Medium,No,11.0,user84@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1085,AST-1085,FIN-LAP-085,Laptop,Finance,Branch-Sousse,Ubuntu 24.04,10.17.129.144,24:CB:15:DF:09:EB,60.0,Low,Yes,36.0,user85@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1086,AST-1086,OPE-LAP-086,Laptop,Operations,Branch-Sfax,Ubuntu 24.04,10.30.107.75,0A:A6:57:EB:B9:2D,10.0,Medium,Yes,15.0,user86@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1087,AST-1087,OPE-LAP-087,Laptop,Operations,Branch-Sfax,macOS Sonoma,10.12.102.223,AD:71:AA:56:27:3A,30.0,High,Yes,22.0,user87@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1088,AST-1088,SUP-PRI-088,Printer,Support,Branch-Sfax,Windows 11,10.30.209.38,4A:83:65:58:4E:26,20.0,Low,No,29.0,user88@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1089,AST-1089,EXE-LAP-089,Laptop,Executive,Branch-Sfax,macOS Sonoma,10.39.226.145,A5:A1:4D:E1:22:F0,60.0,Medium,Yes,17.0,user89@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1090,AST-1090,EXE-LAP-090,Laptop,Executive,HQ-Tunis,Windows 11,10.12.80.119,1D:BC:92:27:2E:C4,40.0,Medium,Yes,28.0,user90@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1091,AST-1091,EXE-LAP-091,Laptop,Executive,Branch-Sfax,Windows 11,10.29.122.129,E6:34:AF:2B:58:14,20.0,Low,No,28.0,user91@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1092,AST-1092,LEG-DES-092,Desktop,Legal,Branch-Sfax,Ubuntu 24.04,10.21.96.235,D1:AD:1A:AB:21:A8,30.0,Low,No,18.0,user92@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1093,AST-1093,SAL-VOI-093,VoIP Phone,Sales,Branch-Sfax,Ubuntu 24.04,10.40.233.155,29:48:B3:9E:C8:42,20.0,High,Yes,19.0,user93@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1094,AST-1094,LEG-DES-094,Desktop,Legal,Branch-Sousse,macOS Sonoma,10.20.209.33,2F:D8:B9:09:B9:9E,60.0,Low,Yes,21.0,user94@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1095,AST-1095,SEC-LAP-095,Laptop,Security,HQ-Tunis,Windows 11,10.14.40.20,13:AC:43:C0:4E:53,30.0,Low,Yes,28.0,user95@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1096,AST-1096,ENG-LAP-096,Laptop,Engineering,Branch-Sousse,macOS Sonoma,10.33.61.249,91:E5:77:7A:9E:F0,40.0,Low,Yes,43.0,user96@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1097,AST-1097,EXE-LAP-097,Laptop,Executive,Branch-Sousse,macOS Sonoma,10.19.200.98,D6:52:66:46:80:1A,50.0,High,No,23.0,user97@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1098,AST-1098,LEG-DES-098,Desktop,Legal,HQ-Tunis,Windows 11,10.26.218.32,52:8B:E6:4B:DF:2E,30.0,Low,No,22.0,user98@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1099,AST-1099,ENG-LAP-099,Laptop,Engineering,Branch-Sousse,Windows 11,10.26.96.61,BF:72:0E:A3:32:AB,40.0,Low,Yes,2.0,user99@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1100,AST-1100,SAL-DES-100,Desktop,Sales,Branch-Sousse,Ubuntu 24.04,10.14.195.181,02:28:09:83:6E:4C,40.0,High,No,7.0,user100@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1101,AST-1101,SAL-LAP-101,Laptop,Sales,HQ-Tunis,macOS Sonoma,10.11.62.108,EA:20:38:FF:08:7B,60.0,High,Yes,18.0,user101@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1102,AST-1102,OPE-DES-102,Desktop,Operations,HQ-Tunis,macOS Sonoma,10.17.147.107,2B:B8:22:0A:C7:F0,20.0,Low,No,23.0,user102@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1103,AST-1103,SAL-LAP-103,Laptop,Sales,Branch-Sfax,macOS Sonoma,10.35.18.89,35:AA:44:16:B4:AD,20.0,High,Yes,43.0,user103@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1104,AST-1104,SEC-LAP-104,Laptop,Security,Branch-Sfax,macOS Sonoma,10.15.208.35,EA:12:96:67:16:66,10.0,Low,Yes,19.0,user104@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1105,AST-1105,LEG-PRI-105,Printer,Legal,Branch-Sousse,macOS Sonoma,10.27.122.65,61:92:B6:18:A9:8B,10.0,Low,Yes,27.0,user105@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
